run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR11825942	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376484	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C77.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	43108	25692368	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C77.fq	C77.R1.fq.gz	4542440;6371057	0b78c5857148da798084e8178b25b001;fbed80a2786f429b6232005cf9f8065d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/042/SRR11825942/SRR11825942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/042/SRR11825942/SRR11825942_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/042/SRR11825942/SRR11825942_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/042/SRR11825942/SRR11825942_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/042/SRR11825942/SRR11825942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/042/SRR11825942/SRR11825942_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825937	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376489	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C81.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	41425	24689300	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C81.fq	C81.R1.fq.gz	4719183;6478577	7dd72e668637e8a720ba0c079ed1daa1;8c844e327e3fab0a94fafcbd61cf4bd4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/037/SRR11825937/SRR11825937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/037/SRR11825937/SRR11825937_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/037/SRR11825937/SRR11825937_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/037/SRR11825937/SRR11825937_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/037/SRR11825937/SRR11825937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/037/SRR11825937/SRR11825937_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825955	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376471	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C59.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	43439	25889644	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C59.fq	C59.R1.fq.gz	4854098;6481486	d6d374af679e9e46db3f6cb3932fab71;7ca05544b5e104b1c08d68e3bfb0d26d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/055/SRR11825955/SRR11825955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/055/SRR11825955/SRR11825955_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/055/SRR11825955/SRR11825955_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/055/SRR11825955/SRR11825955_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/055/SRR11825955/SRR11825955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/055/SRR11825955/SRR11825955_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825943	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376483	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C76.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	56893	34078907	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C76.fq	C76.R1.fq.gz	5622915;8586971	3d26856955d2538e3223ce73f29878a1;d4680f9d65effafb3df07c4ace50f371	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/043/SRR11825943/SRR11825943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/043/SRR11825943/SRR11825943_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/043/SRR11825943/SRR11825943_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/043/SRR11825943/SRR11825943_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/043/SRR11825943/SRR11825943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/043/SRR11825943/SRR11825943_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825944	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376482	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C75.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	50179	29605610	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C75.fq	C75.R1.fq.gz	5366694;7692882	745774c6148c4924b69b72985209a83e;218e2f150a8a2806adc5b716d6c797b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/044/SRR11825944/SRR11825944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/044/SRR11825944/SRR11825944_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/044/SRR11825944/SRR11825944_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/044/SRR11825944/SRR11825944_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/044/SRR11825944/SRR11825944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/044/SRR11825944/SRR11825944_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825949	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376477	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C64.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	48019	28523286	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C64.fq	C64.R1.fq.gz	4731681;7242081	0c07edf6943382205b18d224944eaafc;ad09e659cfe7b96646d44e1591641c23	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/049/SRR11825949/SRR11825949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/049/SRR11825949/SRR11825949_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/049/SRR11825949/SRR11825949_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/049/SRR11825949/SRR11825949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/049/SRR11825949/SRR11825949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/049/SRR11825949/SRR11825949_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825963	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376463	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD19.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	43923	25914570	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	AD19.fq	AD19.R1.fq.gz	4825852;6940744	21744355caffe264cccc087700220aed;157d00134ac43cc44d1c09a86557e7be	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825963/SRR11825963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825963/SRR11825963_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/063/SRR11825963/SRR11825963_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/063/SRR11825963/SRR11825963_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825963/SRR11825963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825963/SRR11825963_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825953	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376473	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C61.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	57179	33735610	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C61.fq	C61.R1.fq.gz	6159477;8720213	9af8834b407d3d40147bf8d7d4e97e81;d235de3ab5632bea4c9adcd501171d47	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/053/SRR11825953/SRR11825953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/053/SRR11825953/SRR11825953_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/053/SRR11825953/SRR11825953_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/053/SRR11825953/SRR11825953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/053/SRR11825953/SRR11825953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/053/SRR11825953/SRR11825953_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825945	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376481	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C74.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	45210	26854740	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C74.fq	C74.R1.fq.gz	4452178;6904660	1e88f29d9e675c2323957b6aa837c32b;c5cd3cc0c9a91a41130a5211a2732381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/045/SRR11825945/SRR11825945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/045/SRR11825945/SRR11825945_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/045/SRR11825945/SRR11825945_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/045/SRR11825945/SRR11825945_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/045/SRR11825945/SRR11825945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/045/SRR11825945/SRR11825945_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825965	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376461	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C46.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	57328	34339472	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C46.fq	C46.R1.fq.gz	6049711;9084697	0cc85143ce6dc880f2d4fb6dbdf0d66c;ee0010503ed282a84ec1735686d0a0d5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825965/SRR11825965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825965/SRR11825965_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/065/SRR11825965/SRR11825965_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/065/SRR11825965/SRR11825965_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825965/SRR11825965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825965/SRR11825965_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
